"CO_CURSO;LATITUDE;LONGITUDE;CO_MUNICIPIO;NO_CURSO;CO_CINE_ROTULO;TP_GRAU_ACADEMICO"
"1,521,433;-23.54;-46.63;3550308;CIÊNCIA DE DADOS;0617C01;1"
"1,521,433;-23.54;-46.63;3550308;CIÊNCIA DE DADOS;0617C01;1"
"1,521,433;-23.54;-46.63;3550308;CIÊNCIA DE DADOS;0617C01;1"
"1,599,656;-23.54;-46.63;3550308;CIÊNCIA DE DADOS;0617C01;1"
"1,599,656;-23.54;-46.63;3550308;CIÊNCIA DE DADOS;0617C01;1"
"1,603,036;-23.54;-46.63;3550308;CIÊNCIA DE DADOS;0617C01;1"
"1,603,036;-23.54;-46.63;3550308;CIÊNCIA DE DADOS;0617C01;1"
"1,538,622;-22.01;-47.89;3548906;CIÊNCIA DE DADOS;0617C01;1"
"1,538,622;-22.01;-47.89;3548906;CIÊNCIA DE DADOS;0617C01;1"
"1,538,622;-22.01;-47.89;3548906;CIÊNCIA DE DADOS;0617C01;1"
"1,600,504;-19.81;-43.95;3106200;CIÊNCIA DE DADOS;0617C01;1"
"1,600,504;-19.81;-43.95;3106200;CIÊNCIA DE DADOS;0617C01;1"
"1,127,861;-3.71;-38.54;2304400;CIÊNCIA DE DADOS;0617C01;1"
"1,571,410;-3.68;-39.58;2306306;CIÊNCIA DE DADOS;0617C01;3"
"1,571,410;-3.68;-39.58;2306306;CIÊNCIA DE DADOS;0617C01;3"
"1,571,410;-3.68;-39.58;2306306;CIÊNCIA DE DADOS;0617C01;3"
"1,550,460;-7.11;-34.86;2507507;CIÊNCIA DE DADOS;0617C01;3"
"1,550,460;-7.11;-34.86;2507507;CIÊNCIA DE DADOS;0617C01;3"
"1,550,460;-7.11;-34.86;2507507;CIÊNCIA DE DADOS;0617C01;3"
"1,545,554,;-23.44;-46.91;3547304;CIÊNCIA DE DADOS;0617C01;3"
"1,545,554;-23.44;-46.91;3547304;CIÊNCIA DE DADOS;0617C01;3"
"1,545,554;-23.44;-46.91;3547304;CIÊNCIA DE DADOS;0617C01;3"
"1,545,554;-23.44;-46.91;3547304;CIÊNCIA DE DADOS;0617C01;3"
"1,618,685;-23.6;-46.91;3513009;CIÊNCIA DE DADOS;0617C01;3"
"1,618,685;-23.6;-46.91;3513009;CIÊNCIA DE DADOS;0617C01;3"
"1,545,554;-23.44;-46.91;3547304;CIÊNCIA DE DADOS;0617C01;3"
"1,545,554;-23.44;-46.91;3547304;CIÊNCIA DE DADOS;0617C01;3"
"1,545,554;-23.44;-46.91;3547304;CIÊNCIA DE DADOS;0617C01;3"
"1,545,554;-23.44;-46.91;3547304;CIÊNCIA DE DADOS;0617C01;3"
"1,618,685;-23.6;-46.91;3513009;CIÊNCIA DE DADOS;0617C01;3"
"1,618,685;-23.6;-46.91;3513009;CIÊNCIA DE DADOS;0617C01;3"
"1,589,553;-23.96;-46.33;3548500;CIÊNCIA DE DADOS;0617C01;3"
"1,589,553;-23.96;-46.33;3548500;CIÊNCIA DE DADOS;0617C01;3"
"1,589,553;-23.96;-46.33;3548500;CIÊNCIA DE DADOS;0617C01;3"
"1,543,013;-22.97;-49.87;3534708;CIÊNCIA DE DADOS;0617C01;3"
"1,543,013;-22.97;-49.87;3534708;CIÊNCIA DE DADOS;0617C01;3"
"1,543,013;-22.97;-49.87;3534708;CIÊNCIA DE DADOS;0617C01;3"
"1,543,013;-22.97;-49.87;3534708;CIÊNCIA DE DADOS;0617C01;3"
"1,536,760;-21.68;-51.07;3500105;CIÊNCIA DE DADOS;0617C01;3"
"1,536,760;-21.68;-51.07;3500105;CIÊNCIA DE DADOS;0617C01;3"
"1,536,760;-21.68;-51.07;3500105;CIÊNCIA DE DADOS;0617C01;3 "
"1,536,760;-21.68;-51.07;3500105;CIÊNCIA DE DADOS;0617C01;3"
